[meta] uuid,[meta] weight,[dem] country_code,[dem] age,[dem] gender,[dem] education_level,[dem] degree_of_urbanisation,[dem] residency,[dem] household_size,[dem] immigration,[dem] origin,[dem] settlement_size,[dem] hometown,[dem] ethnicity,[dem] religion,[dem] employment_status,[dem] employment_status_in_education,[dem] work_type_routine,[dem] work_type_manual,[dem] lgbtq,[dem] income_net_monthly,[dem] disposable_income,[dem] household_finances_past12months,[dem] financial_security,[dem] change_household_finances_next12months,[dem] job_security,[dem] status_national_economy,[dem] change_economy_country_past12months,[dem] economy_country_next12months,[aud] social_networks_regularly_used,[aud] social_media_activity_rank,[aud] online_sharing_frequency,[aud] sharing_network_size,[aud] member_organization,[aud] organization_activities_timeperweek,[aud] media_tv_hours,[aud] media_radio_hours,[aud] media_print_hours,[question] opinion_government,[question] political_view,[question] likelihood_to_demonstrate,[question] vote_for_in_us_election,[question] frequency_of_voting,[question] vote_next_national_election,[question] important_issues_when_voting,[question] ranking_importance_of_issues_when_voting,[question] preferred_type_of_political_leader,[question] frequent_sharing_of_politicalviews,[question] independence_or_respect,[question] obedience_or_selfreliance,[question] consideration_or_good_behaviour,[question] curiosity_or_good_manners,[question] democracy_own_country_satisfaction,[question] next_generation_opportunities,[question] currentplace_change_past5years,[question] hometown_change_past5years,[question] country_direction_past5years,[question] financial_situation_change_past5years,[question] international_trade_gain_or_loss,[question] country_comes_first,[question] improving_life_by_hardwork,[question] conspiracy,[question] government_controlled_by_elite,[question] trust_in_own_judgment,[question] perceived_effect_of_diversity,[question] gender_discrimination_importance,[question] family_friends_highereducation,[question] worldview
d2516540-9d37-0134-1909-0aaafcbd6b1f,1.224826827,US,26,1,5,1,1,3,5,,4,1,1,7,7,,4,1,2,13,1,2,1,1,1,2,2,1,1,4 | 5 | 1 | 2 | 3,5,1,3,2,1,5,1,5,6,4,1,1,1,3 | 4 | 5 | 10 | 6,10 | 3 | 4 | 5 | 6,2 | 5 | 3 | 4 | 6 | 1,3,3,1,2,2,4,4,5,5,1,2,5,1,1,3,1,3,4,4,3,1
dfeece40-9d39-0134-67a8-0a62e1402143,1.440681182,US,46,2,4,1,1,2,4,,4,2,1,8,1,,1,4,2,4,2,3,3,1,3,4,4,2,1,4 | 2 | 5 | 3 | 1,3,1,5,,5,2,1,3,2,3,3,1,1,7 | 1 | 2 | 3 | 14,2 | 7 | 3 | 1 | 14,5 | 4 | 2 | 6 | 3 | 1,3,2,2,1,2,3,2,3,,3,4,3,2,2,2,2,2,3,2,3,2
397cc480-9d3a-0134-5368-0aaafcbd6b1f,1.420667912,US,51,1,4,1,1,3,4,,6,1,3,1,1,,1,3,1,10,2,2,2,2,2,2,1,2,5 | 2 | 1 | 6 | 3 | 13,4 | 5 | 2 | 3 | 1,2,3,2,2,6,3,2,3,2,3,2,1,1,1 | 2 | 7 | 8,7 | 8 | 2 | 1,4 | 5 | 2 | 6 | 1 | 3,1,1,2,2,1,3,3,2,2,4,2,1,3,2,3,2,2,2,2,2,1
18c9bce0-9d3d-0134-f35a-0aaafcbd6b1f,1.188923887,US,27,2,3,1,1,4,5,,3,2,1,7,3,,1,2,2,3,2,4,4,2,5,4,4,6,5 | 13 | 1,4 | 2 | 3 | 1 | 5,3,1,5,,8,2,1,5,2,4,4,5,4,15,,3 | 2 | 1 | 5 | 4 | 6,5,1,1,2,2,4,3,6,,2,1,3,4,1,1,1,1,4,3,5,1
5b1cfde0-9d3d-0134-f617-0aaafcbd6b1f,1.224826827,US,28,1,4,1,2,3,5,,3,1,7 | 6,7,7,,4,4,2,13,6,6,2,1,5,2,2,6,1 | 3 | 9,2 | 4 | 5 | 1 | 3,2,3,5,,4,1,2,3,4,4,4,6,1,3 | 7 | 8 | 13 | 14,14 | 13 | 8 | 7 | 3,2 | 1 | 6 | 4 | 5 | 3,3,2,1,1,2,4,2,1,1,3,2,1,2,2,2,2,3,2,1,1,2
8a15f870-9d3d-0134-5344-0a62e1402143,1.188923887,US,36,2,4,1,1,1,1,5,8,1,3,4,1,,1,1,2,11,1,6,1,6,4,1,1,1,1 | 13,2 | 5 | 4 | 3 | 1,2,3,2 | 1,5,3,2,2,1,4,5,1,1,2,1 | 3 | 4 | 5 | 12,5 | 3 | 4 | 12 | 1,6 | 1 | 3 | 5 | 4 | 2,2,1,1,2,1,2,3,6,6,5,1,1,1,1,1,2,2,3,1,1,1
99de5b30-9d3d-0134-5394-0a62e1402143,1.440681182,US,54,2,4,1,1,2,3,1,3,2,1,1,5,,1,2,3,1,1,2,1,2,3,6,6,6,6 | 1 | 10,2 | 1 | 4 | 3 | 5,3,1,3 | 4,1,2,8,1,2,4,1,4,4,3,3 | 5 | 9 | 12 | 14,5 | 3 | 9 | 12 | 14,3 | 4 | 2 | 5 | 1 | 6,3,2,1,2,2,2,1,2,,3,4,5,1,3,3,4,3,3,3,7,1
4ee54520-9d3e-0134-6356-0aaafcbd6b1f,1.011333523,US,17,2,2,1,1,5,4,,4,1,3,1,6,2,1,1,2,13,6,6,2,4,1,2,3,2,2 | 4 | 13 | 3,4 | 3 | 1 | 5 | 2,1,1,1 | 4,5,5,3,1,2,5,2,4,6,1,3 | 5 | 10 | 11 | 12,10 | 11 | 12 | 3 | 5,2 | 4 | 1 | 5 | 3 | 6,2,1,1,2,2,1,2,6,2,5,2,2,5,1,1,1,2,1,1,2,2
1d3b6a00-9d3f-0134-67a8-0aaafcbd6b1f,0.4694166456,US,35,2,4,2,1,4,3,2 | 1 | 5,2,2,1,7,1,,2,2,2,12,4,2,2,3,2,3,2,5,7 | 13 | 5 | 1 | 2 | 8 | 3 | 6,3 | 4 | 1 | 2 | 5,1,4,2 | 1 | 3 | 4,3,4,5,3,2,2,2,2,1,1,4 | 7 | 11 | 10 | 6,7 | 11 | 6 | 4 | 10,3 | 2 | 5 | 1 | 4 | 6,2,2,2,1,2,4,5,3,,5,2,1,1,1,3,3,3,1,1,3,2
82e33420-9d3f-0134-6ccf-0a62e1402143,1.188923887,US,36,2,3,1,1,2,4,,7,1,3,7,6,2,2,4,2,1,5,2,4,1,5,6,4,4,13 | 1,4 | 1 | 5 | 2 | 3,4,1,4,1,5,1,2,4,3,4,2,2,2,3 | 4 | 11 | 12 | 14,4 | 12 | 11 | 3 | 14,6 | 3 | 5 | 4 | 1 | 2,5,1,2,1,2,3,1,5,4,2,5,3,2,2,1,1,1,1,2,2,2
29187900-9d41-0134-2626-0a62e1402143,0.483592017,US,26,1,3,2,1,3,2,7,1,1,1,3,5,,2,1,1,1,4,2,1,3,2,2,1,1,1,1 | 3 | 5 | 4 | 2,2,1,1,3,4,3,1,5,3,3,3,3,2,5,5,1 | 4 | 3 | 2 | 5 | 6,4,2,2,2,1,3,3,2,1,2,1,3,3,2,2,1,3,3,2,1,1
47b6e250-9d41-0134-26bd-0a62e1402143,0.4804899079,US,18,1,2,2,1,5,4,,4,1,6,1,3,,1,1,2,12,2,3,3,2,3,2,2,2,4 | 2 | 1 | 3 | 13,4 | 2 | 1 | 3 | 5,3,2,4,3,4,1,1,1,3,3,4,6,1,4 | 3 | 6 | 7 | 12,6 | 4 | 7 | 12 | 3,3 | 5 | 2 | 6 | 4 | 1,3,2,2,2,2,2,4,5,5,3,3,1,1,1,3,2,3,2,1,4,2
dd09aaf0-9d41-0134-ba93-0aaafcbd6b1f,0.4804899079,US,24,1,3,2,1,3,5,,3,1,1,7,1,,2,1,2,7,4,3,2,2,2,4,4,2,1 | 13 | 3 | 4,4 | 2 | 1 | 3 | 5,2,4,5,,4,2,1,4,3,4,4,4,2,3 | 4 | 8 | 7 | 12,4 | 8 | 3 | 7 | 12,3 | 4 | 1 | 2 | 5 | 6,3,2,2,1,2,3,3,3,3,2,2,3,2,1,3,2,2,3,2,4,1
049ae1c0-9d42-0134-bb4c-0aaafcbd6b1f,1.216969901,US,15,1,2,1,1,3,2,2,8,1,1,8,3,,2,3,2,3,1,2,3,6,3,2,3,3,13 | 1,4 | 2 | 5 | 3 | 1,5,1,5,,3,6,4,2,5,3,4,3,3,2 | 4,4 | 2,6 | 4 | 1 | 2 | 3 | 5,1,2,2,2,2,1,2,3,3,3,3,2,5,2,2,2,1,5,1,1,1
eaed3fe0-9d43-0134-8ddd-0aaafcbd6b1f,1.224826827,US,27,1,4,1,1,4,4,,4,2,1,7,1,,1,2,2,5,3,1,1,2,1,4,2,2,6 | 13,5 | 2 | 4 | 1 | 3,5,2,3 | 4,2,4,2,1,2,5,4,1,1,1,3 | 12 | 13 | 14,12 | 3 | 13 | 14,5 | 2 | 3 | 1 | 4 | 6,2,2,1,1,2,3,4,3,,1,2,4,1,1,2,1,4,1,3,2,1
203e4a70-9d44-0134-8ebb-0aaafcbd6b1f,1.224826827,US,27,1,3,1,1,4,5,,5,1,3,7,1,,4,2,2,5,3,1,2,1,1,4,4,6,13 | 1 | 6,5 | 2 | 3 | 1 | 4,1,1,1,1,1,3,2,2,3,5,4,5,4,1,1,6 | 5 | 3 | 1 | 4 | 2,2,2,1,2,2,4,5,5,5,1,2,1,2,3,2,2,4,2,4,4,2
367b4310-9d44-0134-4894-0a62e1402143,1.216969901,US,15,1,2,1,1,3,1,5,4,1,2,2,10,,4,3,2,7,2,2,2,3,2,3,4,4,1 | 3 | 9 | 13 | 6,1 | 4 | 2 | 3 | 5,5,1,1,2,5,5,1,3,5,3,4,4,3,2 | 4 | 8,4 | 8 | 2,3 | 1 | 4 | 6 | 5 | 2,2,2,2,3,1,1,3,5,3,5,4,1,2,2,3,4,1,3,3,4,1
9b17edf0-9d44-0134-911f-0aaafcbd6b1f,1.188923887,US,39,2,4,1,1,4,4,,5,2,1,7,9,,4,1,2,8,3,2,2,2,2,1,1,5,1,1 | 3 | 2 | 5 | 4,2,3,4,3,4,5,5,3,4,5,4,1,4,1 | 6 | 7 | 14 | 13,1 | 6 | 7 | 14 | 13,6 | 4 | 5 | 1 | 3 | 2,3,2,2,1,1,4,3,1,,3,2,3,5,4,3,3,1,3,1,2,2
5b199430-9d46-0134-f6f4-0a62e1402143,1.224826827,US,36,1,5,1,1,5,3,1,8,1,1,8,1,,2,3,2,13,3,2,2,6,3,4,6,6,3 | 13 | 8 | 2 | 1 | 6 | 4,2 | 1 | 4 | 3 | 5,1,2,4 | 3 | 1,3,5,3,2,2,3,3,1,4,2,10 | 11 | 12 | 15,10 | 12 | 11,3 | 1 | 5 | 4 | 2 | 6,2,1,2,1,2,2,4,3,3,3,2,2,2,1,4,3,4,1,3,3,1
91095d80-9d46-0134-f845-0a62e1402143,1.216969901,US,15,1,5,1,1,4,5,,3,1,1,8,10,,5,5,3,13,6,6,5,6,5,4,6,6,2 | 4 | 3 | 13 | 1,4 | 3 | 2 | 1 | 5,2,1,5,,3,3,1,1,4,5,4,6,1,11 | 1,11 | 1,1 | 4 | 6 | 2 | 3 | 5,2,2,1,1,1,2,2,6,3,5,3,2,4,3,4,1,4,3,1,2,2
a39a8e30-9d46-0134-d9cc-0aaafcbd6b1f,0.5688166714,US,43,2,5,2,1,5,5,,3,1,1,8,4,,1,1,3,13,3,3,2,3,3,4,5,5,13,2 | 3 | 4 | 1 | 5,4,1,4,1,1,1,1,3,4,4,4,5,4,16,,4 | 3 | 1 | 2 | 6 | 5,3,1,3,1,1,4,5,6,3,5,4,3,4,3,1,1,3,3,1,7,2
191d4560-9d47-0134-ce04-0a62e1402143,1.224826827,US,26,1,4,1,1,4,4,,2,2,2,3,1,,1,1,2,2,1,4,1,3,1,3,3,3,9,1 | 5 | 4 | 2 | 3,1,2,1,2,5,8,2,1,4,3,2,3,2,4,4,3 | 6 | 4 | 1 | 5 | 2,5,2,2,3,2,1,3,4,,1,2,2,1,4,1,5,2,2,3,2,2
6930fe60-9d47-0134-cfc3-0a62e1402143,1.216969901,US,18,1,2,1,1,2,1,13,4,2,3,7,8,,1,1,2,8,3,2,1,1,2,2,6,3,1 | 3 | 9 | 13 | 8,5 | 2 | 3 | 1 | 4,2,2,4,2,1,3,3,3,4,4,2,1,1,4 | 1 | 7 | 6 | 8,4 | 6 | 7 | 1 | 8,2 | 3 | 4 | 5 | 6 | 1,1,2,1,1,2,1,2,3,,3,2,1,1,1,1,2,1,1,3,2,1
49306820-9d48-0134-43ae-0aaafcbd6b1f,1.224826827,US,26,1,3,1,1,5,2,7,1,2,2,4,2,,3,2,2,3,3,1,2,1,2,3,4,4,13 | 1 | 9 | 3,4 | 3 | 5 | 2 | 1,2,3,3 | 1,2,6,2,1,1,5,3,3,1,1,7 | 4 | 2 | 12,7 | 4 | 12 | 2,6 | 5 | 2 | 3 | 4 | 1,2,2,2,1,1,3,3,3,,2,1,2,2,1,4,3,4,1,3,2,1
675270a0-9d48-0134-4457-0aaafcbd6b1f,1.216969901,US,20,1,3,1,1,2,4,,5,2,1,8,6,1,2,3,2,4,2,3,2,2,2,3,2,2,1 | 13 | 7 | 4,4 | 1 | 5 | 2 | 3,5,1,1 | 2,2,4,3,1,5,4,4,3,1,1,3 | 12,3 | 12,5 | 3 | 2 | 6 | 4 | 1,3,1,2,1,1,3,4,5,,2,3,1,1,1,5,2,3,3,2,2,2
8445a5c0-9d48-0134-44f3-0aaafcbd6b1f,0.4694166456,US,39,2,4,2,1,4,4,,3,2,1,1,1,,4,4,2,11,3,2,1,3,2,3,3,2,2 | 1,1 | 2 | 4 | 3 | 5,1,2,3,3,5,1,2,4,5,4,1,1,1,4 | 5 | 10 | 14,4 | 5 | 10 | 14,3 | 1 | 4 | 5 | 6 | 2,4,2,1,2,2,2,2,3,,1,2,4,1,1,5,1,4,2,4,3,1
391c9bf0-9d49-0134-491c-0aaafcbd6b1f,1.216969901,US,15,1,2,1,1,2,4,,4,1,1,7,6,3,5,5,2,13,6,3,5,6,5,4,5,2,13,4 | 2 | 1 | 5 | 3,6,,3,4,5,2,1,2,6,4,4,6,5,4 | 10 | 11,4 | 10 | 11,5 | 6 | 3 | 1 | 4 | 2,2,2,1,1,1,1,2,3,3,1,3,2,1,1,5,4,1,1,2,5,1
13dd30d0-9d4a-0134-4d37-0aaafcbd6b1f,1.420667912,US,51,1,3,1,1,3,1,2,5,2,1,2,1,,3,2,2,5,3,3,3,2,3,3,4,2,11 | 6 | 10 | 13,5 | 2 | 4 | 3 | 1,6,,5,,6,1,3,3,3,4,1,2,2,4 | 5 | 7 | 9 | 12,4 | 7 | 12 | 5 | 9,4 | 2 | 6 | 3 | 1 | 5,2,1,2,2,2,2,2,3,,2,3,4,2,1,3,1,2,2,3,2,1
31f86060-9d4a-0134-4de2-0aaafcbd6b1f,0.5688166714,US,45,2,4,2,1,4,1,7,4,2,2,1,2,,2,2,2,6,3,2,2,1,1,2,3,2,4 | 2 | 9 | 13 | 3 | 1,4 | 2 | 5 | 1 | 3,2,1,5,,4,1,1,4,4,3,2,1,1,1 | 2 | 7 | 8 | 9,1 | 7 | 2 | 8 | 9,3 | 2 | 1 | 5 | 6 | 4,2,1,2,1,1,3,4,4,,3,2,2,1,4,5,1,3,1,1,2,2
66edc750-9d4a-0134-4f10-0aaafcbd6b1f,1.224826827,US,34,1,5,1,1,5,4,,4,1,1,7,10,,5,5,2,13,6,6,1,1,5,6,6,6,13 | 6,4 | 5 | 3 | 2 | 1,6,,4,4,2,2,1,5,5,5,1,6,5,4 | 3 | 1 | 6 | 8,1 | 8 | 6 | 4 | 3,5 | 6 | 2 | 4 | 1 | 3,1,2,1,1,2,1,2,2,1,4,3,1,1,1,3,2,2,3,1,7,2
c995a460-9d4d-0134-01dd-0a62e1402143,1.420667912,US,58,1,4,1,1,1,5,,6,1,1,8,4,,1,4,2,1,3,3,4,5,5,5,5,2,13,2 | 1 | 4 | 3 | 5,1,1,5,,8,4,1,5,5,4,1,1,1,4 | 5 | 10 | 12 | 14,4 | 5 | 12 | 14 | 10,1 | 6 | 3 | 4 | 5 | 2,3,1,2,1,2,3,4,5,5,1,5,5,1,1,2,1,1,5,4,6,1
45125a90-9d4e-0134-04d9-0a62e1402143,1.224826827,US,31,1,4,1,1,3,4,,4,1,3,7,1,,1,3,2,12,1,1,1,1,1,2,2,2,1 | 12 | 8 | 10 | 9 | 11 | 7 | 5 | 2 | 6 | 4 | 14,2 | 4 | 3 | 1 | 5,3,1,4,2,5,5,3,2,5,1,2,1,1,6 | 12 | 3,3 | 6 | 12,2 | 3 | 4 | 5 | 6 | 1,1,1,1,1,1,1,2,2,2,3,1,4,4,1,2,2,1,5,1,2,1
fb8ec6a0-9d4e-0134-ede4-0a62e1402143,1.011333523,US,19,2,3,1,1,4,3,5,6,2,2 | 5,8,6,2,1,1,2,7,6,3,2,2,5,3,2,5,4 | 13 | 5 | 2 | 3 | 1,4 | 2 | 1 | 3 | 5,1,1,5,,4,1,2,3,2,2,2,1,1,6 | 10 | 11 | 12 | 13,12 | 11 | 6 | 10 | 13,3 | 4 | 2 | 6 | 5 | 1,2,3,2,1,1,3,4,2,,1,2,1,3,5,1,1,3,1,1,4,2
68617030-9d4f-0134-09f7-0a62e1402143,1.440681182,US,51,2,3,1,1,3,4,,3,2,1,7,7,,2,3,2,6,3,1,1,3,5,5,5,1,1 | 6,1 | 4 | 2 | 3 | 5,1,2,5,,8,3,1,5,6,4,1,1,1,4 | 5 | 7 | 8 | 12,4 | 5 | 8 | 12 | 7,3 | 4 | 1 | 5 | 6 | 2,2,2,1,1,2,4,1,2,,1,2,5,1,1,3,2,4,5,3,2,1
d8476870-9d50-0134-f95f-0aaafcbd6b1f,1.216969901,US,21,1,3,1,1,5,4,,3,1,6,3,6,3,3,3,2,3,2,1,1,1,1,2,4,6,1 | 4 | 3,4 | 5 | 3 | 1 | 2,1,1,5,,1,1,1,2,2,1,4,5,2,10 | 6 | 1 | 4 | 11,1 | 11 | 6 | 10 | 4,4 | 3 | 5 | 6 | 2 | 1,3,2,1,2,2,2,4,2,1,2,3,1,1,1,2,1,1,1,1,3,2
5b41fa90-9d51-0134-fc02-0aaafcbd6b1f,0.4804899079,US,15,1,2,2,1,5,4,,3,1,6 | 1 | 2 | 5 | 7,1,6,3,5,5,2,13,6,4,2,1,2,2,2,2,4 | 13,2 | 1 | 3 | 4 | 5,3,1,4,1,2,3,1,1,6,4,4,6,2,6 | 7 | 10 | 12 | 14,12 | 6 | 7 | 10 | 14,1 | 5 | 4 | 6 | 3 | 2,4,2,2,2,1,2,4,3,3,2,2,2,1,2,4,2,2,3,4,4,2
32fe03a0-9d52-0134-d7e8-0a62e1402143,1.011333523,US,15,2,2,1,1,5,5,,4,2,1,8,6,2,5,5,1,13,2,2,2,2,5,3,6,6,4 | 6 | 13 | 1,2 | 4 | 3 | 1 | 5,1,1,4,1,2,2,2,3,4,4,4,6,1,4 | 7 | 12 | 14 | 11,12 | 7 | 11 | 14 | 4,3 | 6 | 4 | 2 | 5 | 1,4,1,2,1,1,2,4,2,,3,1,2,2,1,4,2,2,3,1,4,1
688d9f60-9d52-0134-0191-0aaafcbd6b1f,1.011333523,US,22,2,4,1,1,4,3,1,7,2,2 | 1,4,1,,3,2,1,10,3,2,2,1,2,4,2,4,7 | 13 | 8 | 1 | 2 | 5 | 3 | 9,5 | 4 | 1 | 2 | 3,2,2,3 | 2 | 4,5,3,4,1,5,1,2,2,6,1,6 | 7 | 8 | 11 | 13,11 | 13 | 6 | 7 | 8,2 | 3 | 5 | 6 | 4 | 1,1,1,2,1,1,4,4,1,,5,1,2,4,2,2,1,1,1,1,5,2
973dfc60-9d56-0134-471d-0aaafcbd6b1f,1.216969901,US,19,1,5,1,1,5,4,,1,1,3,8,1,,1,1,3,1,1,1,1,2,1,1,1,1,15,1 | 5 | 2 | 3 | 4,6,,5,,8,3,1,3,3,5,4,4,1,3,3,2 | 1 | 3 | 4 | 5 | 6,3,2,1,2,2,1,1,2,3,5,1,1,4,3,3,3,3,3,3,2,2
1ff47e30-9d58-0134-bf4f-0a62e1402143,0.4694166456,US,30,2,4,2,1,5,4,,1,1,1,7,6,1,2,1,2,5,2,1,3,2,2,4,3,3,13 | 6 | 3 | 5 | 1,2 | 4 | 3 | 1 | 5,1,2,3,2,4,2,1,4,3,3,1,5,1,2 | 3 | 4 | 5 | 12,3 | 4 | 2 | 5 | 12,2 | 6 | 4 | 3 | 5 | 1,2,1,2,1,2,2,3,4,4,2,3,2,2,2,3,1,1,2,1,6,1
53d16970-9d58-0134-ac29-0aaafcbd6b1f,1.216969901,US,15,1,2,1,1,5,2,5,5,1,2 | 1,7,6,3,5,5,2,13,6,6,5,6,5,6,6,6,13,2 | 4 | 1 | 5 | 3,6,,3,3,8,4,1,3,4,4,2,1,1,6 | 11,6 | 11,2 | 3 | 5 | 6 | 1 | 4,2,2,1,2,2,4,1,2,6,3,3,3,3,1,1,1,1,5,4,3,2
e4d192a0-9d58-0134-af16-0aaafcbd6b1f,1.216969901,US,18,1,3,1,1,2,2,7,4,2,2,7,4,,1,1,2,13,4,2,3,2,5,3,4,5,3 | 2 | 13 | 4,4 | 5 | 3 | 2 | 1,1,1,3,2,6,2,1,3,3,3,2,1,2,15,,4 | 3 | 6 | 1 | 2 | 5,5,2,1,1,2,3,5,3,,3,2,2,2,1,2,1,4,1,1,3,2
2a8c3660-9d5a-0134-b41d-0aaafcbd6b1f,1.420667912,US,65,1,3,1,1,5,4,,5,1,3,8,5,,2,2,2,12,2,3,3,3,5,3,2,6,13 | 1 | 2,4 | 1 | 3 | 2 | 5,3,2,5,,8,1,1,3,2,4,2,1,1,2 | 4 | 8 | 6 | 7,8 | 7 | 6 | 4 | 2,5 | 3 | 4 | 6 | 2 | 1,3,2,1,1,2,1,1,5,5,4,3,5,1,3,1,1,3,2,1,5,2
